Element,Configuration,2p,3p,3d
Zn,2p63p64s23d10,15.223966407241122,1.905750955960341,0.12272344986622599
Zn,2p63p64s13d10,15.224510635400174,1.904798556682,0.123267678025278
Zn,2p63p64s03d10,15.225599091718276,1.9041182714831848,0.124356134343382
Zn,2p63p64s23d9,15.220837095326573,1.9404455010999058,0.13333589896773998
Zn,2p63p64s13d9,15.221925551644675,1.9412618433384838,0.134288298246081
Zn,2p63p64s03d9,15.223558236121834,1.9430305848554028,0.13564886864371098
Zn,2p63p64s03d8,15.222741893883253,1.9936438036472388,0.147485831103092
Zn,2p63p64s03d7,15.223966407241122,2.0540531293020106,0.160139135801051
Zn,2p63p64s03d6,15.227503890274958,2.123034048461852,0.173472725697825
Zn,2p63p64s03d5,15.234034628183583,2.1997702188881836,0.187486600793414
Zn,2p63p64s03d4,15.24383073504652,2.283309241302666,0.202452875167344
Zn,2p63p64s03d3,15.257436439022818,2.372970830506483,0.21809943474008897
Zn,2p63p64s03d2,15.275259911231773,2.468482872420109,0.234834450630938
Zn,2p63p64s03d1,15.29743720871314,2.5691650818447287,0.250889181322972
Zn,2p63p64s03d0,15.32464861666574,2.675017458780343,
Zn,2p53p64s23d10,15.735132705630711,2.067522776238548,0.160003078761288
Zn,2p53p64s13d10,15.736085104909053,2.068339118477126,0.160819420999866
Zn,2p53p64s03d10,15.73771778938621,2.0702439170338076,0.162179991397496
Zn,2p53p64s23d9,15.733091850034267,2.115823025354413,0.172520326419484
Zn,2p53p64s13d9,15.734724534511422,2.1188162802291988,0.173608782737588
Zn,2p53p64s03d9,15.737037504187393,2.123306162541378,0.175105410174981
Zn,2p53p64s03d8,15.738534131624787,2.186028457872121,0.188847171191044
Zn,2p53p64s03d7,15.742479785777913,2.257458403747696,0.20340527444568499
Zn,2p53p64s03d6,15.749282637766065,2.336371486810236,0.218643662899141
Zn,2p53p64s03d5,15.759622972788051,2.4218153077813995,0.234698393591175
Zn,2p53p64s03d4,15.773908961963166,2.513245638502136,0.25170552356154996
Zn,2p53p64s03d3,15.79227666233117,2.610254307853155,0.269665052810266
Zn,2p53p64s03d2,15.81527030205112,2.712433144715168,0.28844092429755996
Zn,2p53p64s03d1,15.843161995202534,2.8193739779688856,0.306536510586039
Zn,2p53p64s03d0,15.87608779882518,2.9309407505745457,
Zn,2p63p54s23d10,15.235531255620977,1.9540512050762058,0.13442435528584398
Zn,2p63p54s13d10,15.236483654899319,1.9547314902750208,0.135376754564185
